Article Title,Program Name,Image source,Alt Text,Description
"Tinjau PT Pindad, Jokowi Disopiri Prabowo Naik Maung",Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/N4EC2VlW/t_6509bd7354817.jpg?w=300,"Tinjau PT Pindad, Jokowi Disopiri Prabowo Naik Maung","Presiden Joko Widodo memuji Menteri Pertahanan Prabowo Subianto usai menyopirinya menggunakan kendaraan taktis Maung. Peristiwa ini terjadi saat keduanya meninjau PT Pindad di Bandung, Jawa Barat, Selasa 19 September 2023.Presiden Jokowi menikmati momen disopiri oleh Prabowo Subianto. Ia bahkan menyebut, cara menyetir Prabowo sangat bagus. Selain itu kendaraan produksi PT Pindad ini juga sangat mulus dikendarai di jalanan.Menanggapi jawaban Jokowi, Prabowo langsung merendah. Ia mengaku tadi saat menyetir masih tersendat-sendat alias tidak mulus. Di PT Pindad sendiri, beberapa kali momen keakraban Presiden dan Prabowo ini sering terlihat. Prabowo tercatat sudah tiga kali menyopiri Presiden dengan kendaraan yang sama yakni saat Rapim Kemenhan 2023, kunjungan ke PT Pindad di Malang, serta Bandung. ""(kendaraan taktis Maung) mulus, bagus, yang nyetir juga bagus,"" ucap Jokowi. Dalam kunjungan tersebut, Jokowi dan Prabowo melihat produksi kendaraan tempur yang dimiliki oleh Pindad. Usai melihat hasil produksi Pindad, Jokowi menargetkan Pindad menembus posisi 50 terbaik sebagai perusahaan pertahanan dunia.Diperkirakan tahun ini PT Pindad masuk ke angka 60 dan pada 2025 nanti diharapkan masuk Top 50. Presiden Joko Widodo pun mengapresiasi Kemenhan yang rutin memesan hasil produksi Pindad. "
Editorial Malam: Jalan Berliku Sanksi Bawaslu,Editorial MI Video,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/bJECndJ6/t_6509bbf851b97.jpg?w=300,Editorial Malam: Jalan Berliku Sanksi Bawaslu,"Pada 22 Agustus lalu beredar video kader PDIP Gibran Rakabuming Raka dan Bobby Nasution yang mengajak warga untuk memilih bakal calon presiden Ganjar Pranowo di Pilpres 2024. Kedua video terpisah itu tayang di kanal YouTube PDIP. Selain sebagai kader partai berlambang banteng, Gibran dan Bobby berstatus pejabat negara. Gibran Wali Kota Surakarta. Sedangkan Bobby Wali Kota Medan. Sebelumnya, video Gibran yang menempelkan stiker bergambar Ganjar dan Presiden Jokowi di sejumlah rumah warga di Kota Solo, Jawa Tengah, juga viral di media sosial.Video itu mendapat beragam  tanggapan, termasuk dari Badan Pengawas Pemilu (Bawaslu). Anggota Bawaslu  Lolly Suhenty mengakui adanya indikasi pelanggaran terkait beredarnya video tersebut setelah hampir satu bulan mengusut. Pelanggaran yang dimaksud terutama pasal 283  Undang-undang Pemilu Nomor 7 tahun 2017. Ia pun berjanji akan segera menyampaikan hasil penyelidikannya kepada publik.Untuk diketahui, pasal 283 Undang-Undang Pemilu Nomor 7 Tahun 2017 menyebut pejabat negara, pejabat struktural dan pejabat fungsional dalam jabatan negeri serta Aparatur Sipil Negara (ASN) lainnya dilarang mengadakan kegiatan yang mengarah kepada keberpihakan terhadap Peserta Pemilu sebelum, selama, dan sesudah masa kampanye. Larangan sebagaimana dimaksud meliputi pertemuan, ajakan, imbauan, seruan atau pemberian barang kepada ASN dalam lingkungan unit kerjanya, anggota keluarga, dan masyarakat.   Sejauh ini, Ganjar memang belum secara resmi mendaftarkan diri ke Komisi Pemilihan Umum sebagai capres. Namun, ia satu-satunya calon kuat PDIP yang digadang-gadang untuk bertarung pada Pilpres 2024. Jika tidak, logikanya kenapa Gibran dan Bobby repot-repot mengajak masyarakat berbondong-bondong datang ke bilik suara untuk memilihnya. Lagi pula, PDIP sendiri sudah gembar-gembor mempromosikan Gubernur Jawa Tengah ini sebagai capres. Dari fakta ini, Bawaslu seharusnya segera mengumumkan hasil temuannya, apakah tindakan Gibran dan Bobby termasuk pelanggaran pemilu atau tidak. Kemukakan juga alasannya ke publik. Penetapan status ini penting agar jadi pembelajaran bagi semua pihak, khususnya peserta pemilu untuk menaati UU. Kepastian dan keadilan hukum adalah bagian dari upaya menciptakan kepercayaan publik kepada Pemilu 2024.Bawaslu juga tidak perlu sungkan meski Gibran dan Bobby merupakan anak dan menantu Presiden Jokowi. Sebagai lembaga pengawas pemilu, lembaga ini harus berlaku sebagai wasit yang adil, jangan berat sebelah, apalagi tebang pilih.Sekali lagi, ini demi memberi kepercayaan kepada publik tentang kualitas pemilu yang jujur dan adil, sekaligus sebagai sarana pendidikan politik bagi masyarakat. Pemilu bukan semata rivalitas untuk meraih kursi kekuasaan. Ada etika dan aturan-aturan yang mesti dipatuhi. Satu hal yang juga mesti digarisbawahi, negara ini telah memilih jalan demokrasi untuk menciptakan tatanan kehidupan bersama. Esensi ide ini ?isandarkan pada prinsip kebebasan, kesamaan, dan kehendak rakyat banyak.Itu artinya, dalam suatu negara demokrasi tidak boleh ada pemaksaan terhadap individu maupun masyarakat dalam menggunakan hak suaranya pada pemilu, yang notabene merupakan salah satu instrumen  demokrasi. Jika dilanggar, itu artinya mencederai etika demokrasi. Ini yang semesti dipahami, apalagi oleh seorang pejabat negara yang juga dipilih rakyat secara demokratis, bukan hasil titipan. Masa lupa?"
"Beda Gaya Adu Gagasan dengan Ganjar dan Prabowo, Anies Tanpa Slide Presentasi",Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/Ky6CBaoJ/t_6509bb559421f.jpg?w=300,"Beda Gaya Adu Gagasan dengan Ganjar dan Prabowo, Anies Tanpa Slide Presentasi",
PPP: Sandiaga Uno Penuhi Kriteria Bakal Cawapres Ganjar,The Election Channel,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/NG9C5D6d/t_6509bae144705.jpg?w=300,PPP: Sandiaga Uno Penuhi Kriteria Bakal Cawapres Ganjar,"Ketua DPP PPP Achmad Baidowi menyebut Menparekraf sekaligus Ketua Badan Pemenangan Pemilu (Bappilu) PPP Sandiaga Uno memenuhi kriteria bakal cawapres Ganjar Pranowo. Sebab, Sandiaga berhasil mendongkrak dunia pariwisata Indonesia pasca covid-19.""Sandiaga ini tidak mencalonkan, tetapi dicalonkan oleh Rapimnas PPP, diminta dan disodorkan sebagai bakal cawapresnya Pak Ganjar, namun itu baru usulan dari PPP,"" kata Achmad Baidowi dalam program Primetime News, Metro TV, Selasa, 19 September 2023. Achmad Baidowi mengeklaim bahwa PPP optimis sejak awal bahwa Sandiaga Uno bakal menjadi cawapres Ganjar Pranowo. Meskipun, nama Ridwan Kamil santer terdengar akan menjadi bakal cawapres Ganjar.""Politik itu penuh kalkulasi, penuh hitungan, kita masih ada waktu sebulan ke depan untuk mensimulasikan siapa yang layak mendampingi Ganjar,"" ungkapnya. Sementara pengamat politik Adi Prayitno mengungkap bahwa Puan Maharani representasi dari politik PDIP. Ia menilai cukup rasional jika Puan Maharani mengatakan Ridwan Kamil dan AHY sudah tidak bisa menjadi bakal cawapres Ganjar Pranowo. ""Bagi saya ini adalah suatu keniscayaan, sudah menjadi fakta politik bahwa Ridwan Kamil dan AHY sudah tidak mungkin mendampingi Ganjar Pranowo,"" ujarnya.Adi Prayitno menyebut bakal cawapres Ganjar kini mengerucut menjadi empat nama. Mereka adalah Sandiaga Uno, Mahfud MD, Erick Thohir dan Andika Perkasa. ""Kalau kita melihat simulasi survei, kalau Sandi dipasangkan dengan Ganjar itu bisa kompetitif elektabilitasnya, begitu pun dengan Mahfud MD, saya kira memiliki keunggulan yang luar biasa,termasuk Erick Thohir dan Andika Perkasa,"" jelas Adi. Menurut Adi, tidak mudah bagi partai pendukung Ganjar memilih bakal cawapres terbaik. Sebab, Ganjar akan menghadapi lawan-lawan yang besar, seperti Anies Baswedan - Muhaimin Iskandar dan Prabowo dengan bakal cawapresnya. Ketua DPP PDI Perjuangan Puan Maharani bicara soal peluang Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono (AHY) dan Wakil Ketum Partai Golkar Ridwan Kamil di bursa bakal calon wakil presiden (cawapres) untuk bakal calon presiden (capres) Ganjar Pranowo. Puan menyebut keduanya tidak mungkin jadi bacawapres Ganjar.Puan mengatakan nama AHY memang muncul dalam bursa bacawapres Ganjar. Namun, kini sudah tidak mungkin. ""Muncul nama Mas AHY. Namun karena Demokrat sudah memutuskan untuk pindah atau menentukan gabung dengan Mas Prabowo, tentu saja seperti tidak mungkin,"" kata Puan usai acara Munas-Konbes NU 2023 di Jakarta, Senin, 18 September 2023.Begitu juga dengan sosok mantan Gubernur Jawa Barat Ridwan Kamil. Puan menyebut Golkar pun sudah memutuskan bergabung dalam Koalisi Indonesia Maju untuk mendukung Prabowo, sehingga tidak mungkin jadi bakal cawapres untuk Ganjar."
Starbucks Ekspansi Bisnis USD220 Juta di Tiongkok,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/N0BCrQ3Y/t_6509bab3296b2.jpg?w=300,Starbucks Ekspansi Bisnis USD220 Juta di Tiongkok,"Raksasa kopi Amerika Serikat, Starbucks, membuka pengembangan bisnis senilai USD220 juta di luar Shanghai, namun masih di wilayah Tiongkok."
Ini Penyebab Lemahnya Pemulihan Ekonomi Eropa,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/KdZCVnJQ/t_6509b8eb9f9b5.jpg?w=300,Ini Penyebab Lemahnya Pemulihan Ekonomi Eropa,"Dana Moneter Internasional (IMF) memperkirakan perekonomian Eropa akan melemah sesuai perkiraan, seiring dengan melemahnya sektor jasa yang diperkirakan akan terjadi pada sektor manufaktur."
Azerbaijan Luncurkan 'Operasi Anti-Teroris' di Nagorno-Karabakh,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/b7WCRyB8/t_6509b578be0d9.jpg?w=300,Azerbaijan Luncurkan 'Operasi Anti-Teroris' di Nagorno-Karabakh,
Eks Dirut Pertamina Sebut Hanya Mengikuti Perintah Jabatan,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/kM6C0mew/t_6509b5c02b15b.jpg?w=300,Eks Dirut Pertamina Sebut Hanya Mengikuti Perintah Jabatan,
Menunggu Aksi Istana Perangi Hoaks Prabowo Tampar Wamentan,Top News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/NP6CZzER/t_6509b4f6c6d33.jpg?w=300,Menunggu Aksi Istana Perangi Hoaks Prabowo Tampar Wamentan,"Jagad media tiba-tiba diramaikan kabar bahwa Menteri Pertahanan yang juga bakal calon presiden, Prabowo Subianto mencekik Wakil Menteri Pertanian (Wamentan) Harvick Hasnul Qolbi. Presiden Joko Widodo, Kementerian Pertanian, hingga Prabowo sendiri membantah kabar ini. Meski begitu, kabar ini telah merugikan bukan saja Prabowo, tapi juga kabinet. Isu Prabowo mencekik dan menampar Wamentan Harvick Hasnul Qolbi viral di media sosial. Isu ini awalnya disebarkan oleh akun media sosial Seword. Isu ini kemudian berkembang dan menjadi bahan pergunjingan di masyarakat. Isu ini menjadi masalah serius karena melibatkan dua institusi, yaitu Prabowo Subianto beserta partai dan koalisinya, serta kabinet. Karena itu menurut Direktur Eksekutif Indonesia Political Opinion (IPO) Dedi Kurnia Syah, kedua pihak tersebut harus melakukan pembersihan nama. ""Dengan situasi ini saya kira harus ada yang menjelaskan secara confirm bahwa kejadian itu tidak benar, karena kalau sampai kejadian itu benar maka bukan saja Prabowo Subianto yang namanya tentu tercemar dan semakin buruk di hadapan publik, tetapi juga istana yang kemudian tidak bisa dibebaskan dari aktivitas-aktivitas politik,"" jelas Dedi. Presiden Joko Widodo meminta masyarakat tidak percaya begitu saja dengan informasi  yang tidak dapat dipertanggungjawabkan kebenarannya. Informasi seperti itu diminta dikroscek terlebih dahulu. ""Setahu saya tidak ada peristiwa seperti itu (wamen tampar  seorang wakil menteri di rapat kabinet)"" kata Presiden Joko Widodo. Presiden mengatakan, di tahun politik memamang sering kali muncul informasi-informasi yang menyerang figur-figur politik. Hal tersebut disampaikan Jokowi di sela-sela meninjau Pasar Jatinegara, Jakarta Timur.  ""Di tahun politik banyak berita-berita seperti itu. Tolong dikroscek kembali kebenarannya,"" tambah Jokowi."
PSSI dan Polri Bersinergi Persiapkan Piala Dunia U-17,Breaking News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/N9nC6gPD/t_6509b479d1272.jpg?w=300,PSSI dan Polri Bersinergi Persiapkan Piala Dunia U-17,
"Kelelahan dalam Perjalanan, Timnas U-17 Hanya Latihan Ringan pada Hari Pertama TC di Jerman",Breaking News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/N6GC8GEX/t_6509b483396df.jpg?w=300,"Kelelahan dalam Perjalanan, Timnas U-17 Hanya Latihan Ringan pada Hari Pertama TC di Jerman",
Timnas Indonesia Tekuk Kirgistan di Laga Pembuka Asian Games 2022,Breaking News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/kqYCEM5d/t_6509b5a95c6a4.jpg?w=300,Timnas Indonesia Tekuk Kirgistan di Laga Pembuka Asian Games 2022,
Kepala BP2MI Terima Kedatangan Jenazah Korban TPPO Asal NTT,Primetime News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/b1oC8WnV/t_6509b29ab7cf3.jpg?w=300,Kepala BP2MI Terima Kedatangan Jenazah Korban TPPO Asal NTT,"Jenazah pekerja migran ilegal kembali dipulangkan dari Malaysia. Kedatangan jenazah diterima langsung oleh Kepala BP2MI Benny Rhamdani yang turut mendampingi keluarga korban dan menguatkan keluarga yang ditinggalkan.Duka mendalam dirasakan keluarga Yati Fatima Tusi, korban TPPO asal NTT yang meninggal dunia karena sakit ketika bekerja di Malaysia. Jenazah Yati dipulangkan melalui Bandara El Tari, Kupang, Senin, 18 September 2023. Data BP2MI mencatat, NTT merupakan daerah yang paling tinggi kasus kepulangan jenazah pekerja migran illegal. Sepanjang 2023, tercatat sudah ada sebanyak 107 jenazah pekerja migran ilegal yang dipulangkan ke NTT.""NTT ini provinsi tertinggi untuk angka kepulangan jenazah (PMI),"" kata Benny Rhamdani. Benny menegaskan, pemerintah saat ini serius untuk mencegah dan menindak secara tegas setiap sidikat ataupun oknum yang terlibat tindak pidana perdagangan orang (TPPO). Benny pun mengajak semua pihak untuk bersama-sama memberantas sindikat perdagangan orang."
2 Warga Oksibil Terluka Ditembak Separatis Papua,Primetime News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/bVDCOxag/t_6509b48994f68.jpg?w=300,2 Warga Oksibil Terluka Ditembak Separatis Papua,"Kelompok Separatis Teroris (KST) Papua kembali berulah dengan menembak dua orang warga sipil di Distrik Oksibil, Kabupaten Pegunungan Bintang. Kasatgas Humas Ops Damai Cartenz AKBP Bayu Suseno mengatakan, penembakan terjadi di Kampung Okpol, Senin 18 September 2023 sekitar pukul 19.00 WIT. Kedua korban tengah berada di dalam rumah lalu tiba-tiba terdengar suara tembakan dan mengenai keduanya. Akibatnya, dua korban bernama Regina Bitdana dan Jonas Kalakmabin mengalami luka tembak di bagian kaki. Saat ini keduanya berada di RSUD Oksibil untuk menjalani perawatan. ""Untuk kondisi korban saat ini dalam keadaan sadar dan dirawat di RSUD,"" kata AKBP Bayu Suseno."
Tersangka Korupsi LNG Pertamina Bantah Tudingan KPK,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/k8oCLy0L/t_6509b3c85b6d2.jpg?w=300,Tersangka Korupsi LNG Pertamina Bantah Tudingan KPK,
BP2MI Kukuhkan Kawan PMI NTT,Primetime News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/NgxC84Gr/t_6509b1e8bd474.jpg?w=300,BP2MI Kukuhkan Kawan PMI NTT,"Badan Pelindungan Pekerja Migran Indonesia (BP2MI) membentuk dan mengukuhkan Komunitas Relawan Pekerja Migran Indonesia (Kawan PMI) di Kupang, Nusa Tenggara Timur (NTT). Kawan PMI merupakan wadah untuk bersama-sama melindungi pekerja migran Indonesia. Pembentukan Kawan PMI ini dikukuhkan langsung oleh Kepala BP2MI Benny Rhamdani, didampingi Pj Gubernur NTT Ayodhia Kalake, Kapolda NTT Irjen Pol Johni Asadoma, serta sejumlah perwakilan pimpinan TNI dan Forkopimda. Hadir pula dalam kegiatan ini anggota DPR RI Komisi IX Ratu Ngadu Banu Wulia bersama anggota DPD Paul Liyanto.Sejak pagi, ratusan anggota Kawan PMI mulai berdatangan ke lokasi dengan penuh semangat. Sebanyak 115 anggota Kawan PMI se-NTT yang dikukuhkan diharapkan dapat menjadi wadah untuk berjuang bersama menjaga dan melindungi pekerja migran Indonesia. Benny Rhamdani menambahkan, NTT merupakan daerah tertinggi angka kematian PMI illegal. Sehingga, perlu kerjasama semua pihak, termasuk bersama Kawan PMI NTT untuk memberikan perlindungan terhadap PMI.   Data BP2MI mencatat dalam kurun waktu sejak 2019 - 2023, sebanyak 4.506 PMI asal NTT yang bekerja di luar negeri secara prosedural. Sementara sepanjang 2023, tercatat 107 jenazah PMI yang dipulangkan ke NTT, dan dalam tiga tahun terakhir ada sebanyak 420 jenazah PMI asal NTT yang merupakan PMI nonprosedural.Dengan kondisi tersebut, kehadiran Kawan PMI NTT mampu berkolaborasi dengan semua pihak untuk mencegah berbagai tindakan kejahatan. Termasuk memerangi sindikat penempatan PMI secara illegal.Komitmen yang sama disampaikan langsung oleh Kapolda NTT Irjen Pol Johni Asadoma. Kapolda menjamin integritas aparat untuk memerangi berbagai aksi kejahatan perdagangan orang dan memberantas oknum ataupun sindikat yang terlibat dalam perekrutan ataupun penempatan PMI secara illegal. Jika ada oknum aparat yang terlibat, maka dipastikan akan ditindak tegas.Kepala BP2MI Benny Rhamdani dalam sambutannya menyerukan kepada seluruh Kawan PMI untuk bersatu, berjuang bersama memerangi sindikat perdagangan orang dan memberikan perlindungan menyeluruh bagi PMI. PMI wajib dilindungi karena PMI merupakan anak bangsa sebagai penyumbang devisa terbesar mencapai Rp1.519 triliun lebih per tahunnya. Sehingga negara wajib memperhatikan dan melindungi setiap PMI.  Negara akan bertindak tegas terhadap siapapun atau sindikat apapun yang terlibat melalui instruksi presiden terhadap kapolri untuk sikat habis setiap sindikat dan oknum yang terlibat perdagangan orang. Kepala BP2MI pun menyerukan kepada semua pihak agar komitmen bersama dan berjuang bersama agar negara tidak kalah dengan para mafia atau sindikat kejahatan.Dalam kegiatan ini, Kepala BP2MI juga menyampaikan apresiasi bagi para anggota yang telah bergabung sebagai Kawan PMI sebagai salah satu aksi kemanusiaan demi menjaga dan melindungi negara dari berbagai ancaman sindikat kejahatan. Termasuk memerangi tindakan perdagangan orang demi memberi perlindungan kepada para pekerja migran Indonesia. "
Dalih Ganjar Usai Muncul di Azan TV Jadi Kontroversi,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/ba4C0GgY/t_6509af56f1150.jpg?w=300,Dalih Ganjar Usai Muncul di Azan TV Jadi Kontroversi,
PKB Belum Dapat Kapten Timnas AMIN,The Election Channel,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/kWDCOMGW/t_6509b271a8dbd.jpg?w=300,PKB Belum Dapat Kapten Timnas AMIN,"Jakarta: Partai Kebangkitan Bangsa (PKB) masih mempelajari nama-nama yang dirumorkan mengisi pos kapten Tim Nasional (Timnas) Pemenangan Anies-Cak Imin (AMIN). Belum ada pembicaraan secara detail.""Sampai saat ini secara detail buat suaranya kita belum bisa menyampaikan,"" ujar Ketua Umum DPP Perempuan Bangsa PKB Siti Mukaromah, Selasa, 19 September 2023.Erma, sapaannya, mengaku belum ada pembicaraan lebih lanjut mengenai sosok Kapten Timnas Pemenangan AMIN. Baik di internal PKB dan dengan partai koalisi.Pihaknya saat ini baru membahas tema yang akan menjadi perhatian utama Timnas Pemenangan AMIN. Mulai dari bidang politik, pendidikan, kesehatan, agama, dan ekonomi.Ada 21 nama masuk bursa calon Timnas Pemenangan AMIN. Tiga di antaranya Gubernur Jawa Timur Khofifah Indar Parawansa, jurnalis senior Najwa Shihab, dan Tokoh Publik Veronica Tan."
"Khawatir Pandemi Muncul Lagi, Korsel Stok Vaksin Covid-19",Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/NnjC7oQZ/t_6509acebdb736.jpg?w=300,"Khawatir Pandemi Muncul Lagi, Korsel Stok Vaksin Covid-19",
Polres Depok Ringkus 2 Pemalsu Surat Kendaraan Bermotor,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/KvJCB2je/t_6509ac5144d8b.jpg?w=300,Polres Depok Ringkus 2 Pemalsu Surat Kendaraan Bermotor,"Polres Depok menangkap dua tersangka jaringan pemalsu surat kendaraan bermotor. Keduanya disebut sudah beberapa kali memalsukan STNK dan BPKB kendaraan bermotor. Polisi menangkap dua tersangka, MH (43) dan F (39) di kediaman pelaku di Sukmajaya, Kota Depok, Jawa Barat. Pelaku MH disebut memiliki kemampuan desain grafis yang digunakan untuk memalsukan surat kendaraan. Sedangkan pelaku F bertindak sebagai pencari konsumen. Kedua tersangka disebut memperoleh keuntungan puluhan juta rupiah. Pelaku memasang tarif Rp400 ribu hingga Rp700 ribu untuk satu surat kendaraan yang dipalsukan. Para tersangka akhirnya mendekam di ruang tahanan Mapolres Metro Depok dan terancam hukuman enam tahun penjara.""Selain itu yang bersangkutan juga sempat menawarkan dan memberikan keterangan, kalau bisa juga membuat buku nikah serta BPKB,"" ujar Kasat Reskrim Polres Metro Depok Kompol Hadi Kristanto."
4 Kriteria Menteri Pilihan Anies,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/NleC04Y7/t_6509aba256613.jpg?w=300,4 Kriteria Menteri Pilihan Anies,
Helikopter Water Bombing Dikerahkan Padamkan Kebakaran TPA Puri Cempo,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/koGCVvPe/t_6509abedef962.jpg?w=300,Helikopter Water Bombing Dikerahkan Padamkan Kebakaran TPA Puri Cempo,"Badan Nasional Penanggulangan Bencana (BNPB) mengerahkan helikopter untuk memadamkan api di tempat pembuangan akhir (TPA) Putri Cempo Surakarta, Jawa Tengah. TPA tersebut terbakar sejak empat hari lalu, tapi api sulit dipadamkan sehingga harus menggunakan metode pemadaman water bombing.Satu helikopter Super Puma dari BNPB dikerahkan untuk memadamkan api penyebab polusi asap di TPA Putri Cempo, Surakarta, Jawa Tengah.Pemadaman jalur udara dilakukan setelah empat hari Damkar Gabungan berupaya memadamkan api melalui jalur darat. Pemadaman via darat disebut tidak kunjung membuahkan hasil maksimal untuk titik api yang sulit dijangkau. Helikopter Super Puma dikerahkan untuk memadamkan api di lokasi yang sulit dijangkau di beberapa titik. Pemadaman melalui jalur udara akan terus dilaksanakan hingga titik api di TPA ini hilang. Sementara itu karena sudah ada upaya pemadaman jalur udara, pemadaman jalur darat pun dihentikan. Dalam satu hari, helikopter Super Puma dapat mengambil air sekitar 50 kali trip atau perjalanan."
Kemenkes Imbau Kewaspadaan terhadap Virus Nipah Ditingkatkan,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/KYVCJOqY/t_6509aa965a7b0.jpg?w=300,Kemenkes Imbau Kewaspadaan terhadap Virus Nipah Ditingkatkan,
